multiplet_name,peak_in_multiplet,position_ppm,height,width_hz,area,position_hz,gaussian_fraction
M3,14,7.3614,4.26,1.67,129.71,510.0199999999992,0.4716981132075471
M2,12,7.3649,1.24,1.03,11.76,512.1199999999986,0.4807692307692307
M2,13,7.3686,14.02,1.44,208.32,514.3399999999989,0.7936507936507936
M3,13,7.3705,1.59,1.16,37.02,515.4799999999992,0.6896551724137931
M2,14,7.3712,3.88,1.18,50.19,515.8999999999993,1.0
M2,15,7.3724,3.52,1.03,40.78,516.6199999999986,1.0
M3,12,7.3747,2.11,1.41,62.09,517.9999999999987,0.8403361344537815
M2,16,7.3785,9.29,1.37,124.81,520.2799999999985,0.6134969325153374
M2,17,7.3805,25.4,1.27,350.6,521.4799999999992,1.0
M2,18,7.3819,6.4,1.12,81.69,522.3199999999994,1.0
M3,11,7.382,0.06,0.35,0.34,522.3799999999989,0.3333333333333333
M2,19,7.3844,6.52,1.17,74.11,523.8199999999994,0.5813953488372093
M3,10,7.3863,0.55,1.05,11.48,524.9599999999988,0.6535947712418301
M2,20,7.3874,9.38,1.17,116.44,525.6199999999995,0.9433962264150942
M2,21,7.3902,11.68,1.11,141.51,527.2999999999989,1.0
M2,22,7.3922,9.69,1.56,153.87,528.4999999999987,0.7352941176470589
M2,23,7.3941,6.99,1.04,71.42,529.6399999999991,0.628930817610063
M3,9,7.3979,3.93,1.09,90.32,531.9199999999988,0.8849557522123894
M2,24,7.3988,7.31,1.68,127.97,532.4599999999988,0.8333333333333334
M3,8,7.401,0.28,0.28,1.58,533.7799999999985,0.591715976331361
M2,25,7.4017,1.22,0.79,9.01,534.1999999999986,0.5235602094240838
M2,26,7.4043,4.24,1.29,57.41,535.759999999999,0.8849557522123894
M2,27,7.4061,2.71,1.27,34.99,536.8399999999989,0.7407407407407407
M2,28,7.4088,0.73,1.11,7.84,538.4599999999988,0.5847953216374269
M3,7,7.4108,6.33,1.17,146.7,539.6599999999995,0.6369426751592357
M2,29,7.4113,1.61,1.14,19.95,539.9599999999988,1.0
M2,30,7.414,0.54,1.23,6.43,541.5799999999987,0.5780346820809249
M3,6,7.4206,0.8,0.89,14.01,545.5399999999996,0.6134969325153374
M3,5,7.4237,3.0,1.03,61.78,547.3999999999993,0.6578947368421053
M3,4,7.4343,0.95,1.42,25.78,553.759999999999,0.5464480874316939
M3,3,7.4375,0.78,1.17,19.45,555.679999999999,0.9523809523809524
M3,2,7.4416,0.06,0.36,0.36,558.1399999999991,0.3333333333333333
M3,1,7.4479,0.94,1.94,33.26,561.9199999999988,0.4694835680751174
M1,1,7.45,13.22,1.24,168.31,563.179999999999,0.7575757575757576
M1,2,7.453,14.72,1.39,214.85,564.9799999999992,0.8695652173913044
M1,3,7.4567,2.99,1.05,33.48,567.1999999999986,1.0
M1,4,7.4609,3.75,1.42,53.1,569.719999999999,0.6622516556291391
M1,5,7.4636,11.48,1.45,182.07,571.3399999999989,1.0
M1,6,7.4661,7.4,1.07,82.39,572.8399999999989,0.819672131147541
M2,5,7.789,0.16,0.33,0.86,592.8399999999989,0.3333333333333333
M2,4,7.7916,4.85,1.7,143.92,594.3999999999993,0.4219409282700421
M2,3,7.8028,2.93,1.12,69.12,601.1199999999995,0.8928571428571428
M2,2,7.8052,3.33,0.98,60.45,602.5599999999991,0.5076142131979695
M2,1,7.8076,0.92,0.5,7.81,603.9999999999987,0.4048582995951417
M1,2,8.5706,1.29,1.05,25.57,623.9999999999987,0.5319148936170213
M1,1,8.5735,0.89,0.46,7.06,625.7399999999976,0.4184100418410042
